Frequency,Mori-Tanaka - K',Mori-Tanaka - K'',Mori-Tanaka - G',Mori-Tanaka - G'',Mori-Tanaka - E',Mori-Tanaka - E'',Mori-Tanaka - nu',Mori-Tanaka - nu'',Differential - K',Differential - K'',Differential - G',Differential - G'',Differential - E',Differential - E'',Differential - nu',Differential - nu''
0.7780359989949749,416667029.1571895,0.0,53.85169762820596,0.9526391421649096,161.55508592678945,2.857917180249031,0.4999999353780218,-1.1431658775713003e-09,5319.780993275219,2.8203920390505703,53.57653240803197,1.0182450440238255,160.1920053906,3.0346121200277283,0.49498119786547023,-9.24123939889525e-05
0.8167294665829146,416667029.1571895,0.0,53.89523154069532,0.9750176539140042,161.68568765310354,2.9250527095079977,0.4999999353257813,-1.1700200659123542e-09,5319.910607505288,2.885040374985339,53.623297534706296,1.0416309606517824,160.3313846623852,3.1042905571417196,0.4949769512802888,-9.452979537894141e-05
0.8554229341708544,416667029.1571895,0.0,53.93871553990952,0.9973238444039363,161.81613963959805,2.9919712749990883,0.4999999352736005,-1.1967874688217584e-09,5320.040013887922,2.9494085189182897,53.66998854363749,1.064918538682616,160.4705424329432,3.1736751838641273,0.49497271160352474,-9.663805824986834e-05
0.894116401758794,416667029.1571895,0.0,53.98214965242309,1.0195579485745498,161.94644196599648,3.0586735815418336,0.4999999352214796,-1.2234683682270811e-09,5320.169212677157,3.013497979890996,53.716605550593464,1.0881083539315723,160.609479048762,3.24276772292332,0.4949684788241686,-9.873723696664246e-05
0.9328098693467337,416667029.1571895,0.0,54.245946700305026,1.0764103999838066,162.73783304140773,3.2292309196753557,0.49999993490492345,-1.2916912441281398e-09,5320.949518199332,3.171084410073356,53.998284674887834,1.1453571985126363,161.4489443414251,3.4132665260145014,0.49494291634027165,-0.00010389899646502123
0.9715033369346734,416667029.1571895,0.0,54.247731190898556,1.1012017429094199,162.7431865128532,3.3036049419875857,0.499999934902782,-1.3214408271715712e-09,5320.955501312494,3.2440184890738366,54.000499659258644,1.1716987878296348,161.45555590139364,3.491765890011685,0.49494271205400836,-0.00010628824953107467
1.010196804522613,416667029.1571895,0.0,54.249538344617264,1.125990254830401,162.74860797367128,3.377970471286109,0.49999993490061345,-1.3511870130124755e-09,5320.9620691819055,3.316938498929071,54.00274571027855,1.19803504164068,161.4622603335065,3.570249301382363,0.494942505350111,-0.00010867699186717889
1.0488902721105526,416667029.1571895,0.0,54.251368155913774,1.1507759047602708,162.75409740721977,3.4523274146114895,0.4999999348984177,-1.3809297644671104e-09,5320.968476975575,3.3898436759641832,54.005022805367844,1.2243658871895946,161.46905749405926,3.648716539196494,0.4949422955252287,-0.00011106523149459158
1.0875837396984924,416667029.1571895,0.0,54.253220619184425,1.1755586617257625,162.7596547966877,3.5266756790439255,0.4999999348961947,-1.4106690443675874e-09,5320.974973179194,3.462734017153172,54.00733092460013,1.2506912512980604,161.47594734882273,3.7271673856157705,0.49494208281667557,-0.00011345295654002396
1.126277207286432,416667029.1571895,0.0,54.27893992907636,1.2031831217443312,162.8368127198219,3.609549051757265,0.49999993486533156,-1.443818364613769e-09,5321.051870180055,3.5429482236796064,54.03505714173674,1.2796992196233903,161.5585866264915,3.813601134407987,0.4949395640130552,-0.00011608068131012353
1.1649706748743718,416667029.1571895,0.0,54.4333604251336,1.2459208711118142,163.3000741679551,3.737762287801379,0.4999999346800272,-1.4951036144144138e-09,5321.507800405555,3.6618356992826664,54.19965130913391,1.3228941527182905,162.0491047423333,3.9422487252666905,0.4949246295465037,-0.00011997657533241999
